project_id,response_id,question,text,sentence
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I developed vulnerability.
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I realized the relevance of digital footprint and how it can affect the way people are perceived.
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.","I became more confident in public speaking, specially after being so exposed amongst a small audience."
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I improved my empathy and kindness as well as my self-confidence.
Career_Youth_Exchange,21,What did you learn during the project?,Definitely emotional intelligence and social competence,Definitely emotional intelligence and social competence
Career_Youth_Exchange,22,What did you learn during the project?,Communication skills,Communication skills
Career_Youth_Exchange,23,What did you learn during the project?,"Yes, how to react on spot and give counter arguments to topics which I’m not well versed on","Yes, how to react on spot and give counter arguments to topics which I’m not well versed on"
Career_Youth_Exchange,24,"Do you have any recommendations for improvements? If yes, please share.",maybe more free time or different structure of the activity time and after only free time,maybe more free time or different structure of the activity time and after only free time
Career_Youth_Exchange,25,"Do you have any recommendations for improvements? If yes, please share.","Yes, I learned a lot","Yes, I learned a lot"
Career_Youth_Exchange,26,"Do you have any recommendations for improvements? If yes, please share.","Everything was very smooth, so i don't have any ideeas for improvement.","Everything was very smooth, so i don't have any ideeas for improvement."
Career_Youth_Exchange,27,"Do you have any recommendations for improvements? If yes, please share.","the overall experience was amazing, I wouldn’t add anything else","the overall experience was amazing, I wouldn’t add anything else"
Career_Youth_Exchange,28,"Do you have any recommendations for improvements? If yes, please share.",no,no
Career_Youth_Exchange,29,"Do you have any recommendations for improvements? If yes, please share.","No, it was amazing.","No, it was amazing."
Career_Youth_Exchange,30,"Do you have any recommendations for improvements? If yes, please share.",I want the continuation of the project!,I want the continuation of the project!
Career_Youth_Exchange,31,"Do you have any recommendations for improvements? If yes, please share.",no I don’t have,no I don’t have
Career_Youth_Exchange,32,"Do you have any recommendations for improvements? If yes, please share.",nothing,nothing
Career_Youth_Exchange,33,"Do you have any recommendations for improvements? If yes, please share.","I don't think there is something to improve, keep doing like this, you did an amazing job!","I don't think there is something to improve, keep doing like this, you did an amazing job!"
Career_Youth_Exchange,36,"Do you have any recommendations for improvements? If yes, please share.","No, everything was fine.","No, everything was fine."
Career_Youth_Exchange,37,"Do you have any recommendations for improvements? If yes, please share.",Breaks at the start were too much,Breaks at the start were too much
Career_Youth_Exchange,39,"Do you have any recommendations for improvements? If yes, please share.",Organize local table at the end of Project and not way after because it's complicated to organize it afterwards,Organize local table at the end of Project and not way after because it's complicated to organize it afterwards
Career_Youth_Exchange,40,"Do you have any recommendations for improvements? If yes, please share.",Everything was perfect,Everything was perfect
Career_Youth_Exchange,41,"Do you have any recommendations for improvements? If yes, please share.",As long as the energy is right everything is fine!!,As long as the energy is right everything is fine!!
Career_Youth_Exchange,42,"Do you have any recommendations for improvements? If yes, please share.","Overall it was great and the activities were amazing, but in the upcoming ones more personality tests which are internationally proven can be added for better personality analysis","Overall it was great and the activities were amazing, but in the upcoming ones more personality tests which are internationally proven can be added for better personality analysis"
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",I would suggest to choose a not so cold date to do it.
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",It was a struggle to be motivated sometimes due to the weather.
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.","Also, it wasn't 100 percent clear where the location was and this could be improved further."
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","Less people per room, maybe sessions can be a little more intense / in-depth","Less people per room, maybe sessions can be a little more intense / in-depth"
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.",Add more fun games and sessions,Add more fun games and sessions
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.",Sleeping arrangements maybe could be divided for people who sleep early and sleep late 🙂‍↕️,Sleeping arrangements maybe could be divided for people who sleep early and sleep late 🙂‍↕️
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The speed dating, the debates, the reflection time when we had draw a river of our life, the ted talks, the cv game and the ikigai.","The speed dating, the debates, the reflection time when we had draw a river of our life, the ted talks, the cv game and the ikigai."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"treasure hunt, acting and drawing your river of life","treasure hunt, acting and drawing your river of life"
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"Activities where we had to talk about personal experiences, learning from others and having to talk about what success means for each of us.","Activities where we had to talk about personal experiences, learning from others and having to talk about what success means for each of us."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The debate exercise and the river of my life exercise,The debate exercise and the river of my life exercise
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Fuckup night was amazing.,Fuckup night was amazing.
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"Speed dating, ted talk, deep talks.","Speed dating, ted talk, deep talks."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The ones about career choice helped a lot,The ones about career choice helped a lot
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,tedx talk,tedx talk
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"especially the part where we prepare our cv and ask each other questions about success, his and courage etc.","especially the part where we prepare our cv and ask each other questions about success, his and courage etc."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The one with mentor, to choose a goal and try to achieve it","The one with mentor, to choose a goal and try to achieve it"
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I liked the ""speed dating"" as it was nice to hear other people's opinions about different questions","I liked the ""speed dating"" as it was nice to hear other people's opinions about different questions"
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The debate, and the product packaging innovation.","The debate, and the product packaging innovation."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"There were useful points for me in all the activities, but the most useful for me was the CV preparation activity.","There were useful points for me in all the activities, but the most useful for me was the CV preparation activity."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,TED talks and debate,TED talks and debate
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,All of them,All of them
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Ted Talk,Ted Talk
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,the luxembourg conference,the luxembourg conference
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"the debate, the tedx talks, the secret friends, the social interactions overall","the debate, the tedx talks, the secret friends, the social interactions overall"
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference but we feel the same things through different situations and that is something that connects us all together.,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference but we feel the same things through different situations and that is something that connects us all together.,but we feel the same things through different situations and that is something that connects us all together.
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.","I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session."
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",They slowly made me realize many things about myself and learn about my peers.
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other.
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",Which is one of the main goals I had for the project.
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Making a film about what courage for succes means to us and the ikigai session,Making a film about what courage for succes means to us and the ikigai session
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Speed dating,Speed dating
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The Debate and the self reflection part,The Debate and the self reflection part
