project_id,response_id,question,text,sentence,sentiment,sentiment_score
Career_Youth_Exchange,11,What did you learn during the project?,Developed leadership skills.,Developed leadership skills.,neutral,0.0
Career_Youth_Exchange,12,What did you learn during the project?,Yes I improved in social interaction.,Yes I improved in social interaction.,positive,0.7003
Career_Youth_Exchange,13,What did you learn during the project?,"Yes, I have. Especially our human relations and social ties have become much stronger.","Yes, I have.",positive,0.4019
Career_Youth_Exchange,13,What did you learn during the project?,"Yes, I have. Especially our human relations and social ties have become much stronger.",Especially our human relations and social ties have become much stronger.,positive,0.3818
Career_Youth_Exchange,14,What did you learn during the project?,Less fear and the lessons learnt in my life were clearer,Less fear and the lessons learnt in my life were clearer,negative,-0.4417
Career_Youth_Exchange,16,What did you learn during the project?,Self-confidence,Self-confidence,neutral,0.0
Career_Youth_Exchange,17,What did you learn during the project?,Public speaking,Public speaking,neutral,0.0
Career_Youth_Exchange,18,What did you learn during the project?,"yes, i understood there are many career opportunities","yes, i understood there are many career opportunities",positive,0.6486
Career_Youth_Exchange,19,What did you learn during the project?,I got to know myself better and made me realise what are my strength and what are the areas for improvement including empathy.,I got to know myself better and made me realise what are my strength and what are the areas for improvement including empathy.,positive,0.8442
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I became more open and communicative.,neutral,0.0
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I developed vulnerability.,negative,-0.2263
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I realized the relevance of digital footprint and how it can affect the way people are perceived.,neutral,0.0
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.","I became more confident in public speaking, specially after being so exposed amongst a small audience.",positive,0.4121
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I improved my empathy and kindness as well as my self-confidence.,positive,0.802
Career_Youth_Exchange,21,What did you learn during the project?,Definitely emotional intelligence and social competence,Definitely emotional intelligence and social competence,positive,0.7506
Career_Youth_Exchange,22,What did you learn during the project?,Communication skills,Communication skills,neutral,0.0
Career_Youth_Exchange,23,What did you learn during the project?,"Yes, how to react on spot and give counter arguments to topics which I’m not well versed on","Yes, how to react on spot and give counter arguments to topics which I’m not well versed on",negative,-0.2057
Career_Youth_Exchange,24,"Do you have any recommendations for improvements? If yes, please share.",maybe more free time or different structure of the activity time and after only free time,maybe more free time or different structure of the activity time and after only free time,positive,0.8012
Career_Youth_Exchange,25,"Do you have any recommendations for improvements? If yes, please share.","Yes, I learned a lot","Yes, I learned a lot",positive,0.4019
Career_Youth_Exchange,26,"Do you have any recommendations for improvements? If yes, please share.","Everything was very smooth, so i don't have any ideeas for improvement.","Everything was very smooth, so i don't have any ideeas for improvement.",positive,0.5
Career_Youth_Exchange,27,"Do you have any recommendations for improvements? If yes, please share.","the overall experience was amazing, I wouldn’t add anything else","the overall experience was amazing, I wouldn’t add anything else",positive,0.5
Career_Youth_Exchange,28,"Do you have any recommendations for improvements? If yes, please share.",no,no,positive,0.5
Career_Youth_Exchange,29,"Do you have any recommendations for improvements? If yes, please share.","No, it was amazing.","No, it was amazing.",positive,0.5
Career_Youth_Exchange,30,"Do you have any recommendations for improvements? If yes, please share.",I want the continuation of the project!,I want the continuation of the project!,neutral,0.1511
Career_Youth_Exchange,31,"Do you have any recommendations for improvements? If yes, please share.",no I don’t have,no I don’t have,positive,0.5
Career_Youth_Exchange,32,"Do you have any recommendations for improvements? If yes, please share.",nothing,nothing,positive,0.5
Career_Youth_Exchange,33,"Do you have any recommendations for improvements? If yes, please share.","I don't think there is something to improve, keep doing like this, you did an amazing job!","I don't think there is something to improve, keep doing like this, you did an amazing job!",positive,0.8588
Career_Youth_Exchange,36,"Do you have any recommendations for improvements? If yes, please share.","No, everything was fine.","No, everything was fine.",positive,0.5
Career_Youth_Exchange,37,"Do you have any recommendations for improvements? If yes, please share.",Breaks at the start were too much,Breaks at the start were too much,negative,-0.6
Career_Youth_Exchange,39,"Do you have any recommendations for improvements? If yes, please share.",Organize local table at the end of Project and not way after because it's complicated to organize it afterwards,Organize local table at the end of Project and not way after because it's complicated to organize it afterwards,positive,0.5
Career_Youth_Exchange,40,"Do you have any recommendations for improvements? If yes, please share.",Everything was perfect,Everything was perfect,positive,0.5
Career_Youth_Exchange,41,"Do you have any recommendations for improvements? If yes, please share.",As long as the energy is right everything is fine!!,As long as the energy is right everything is fine!!,positive,0.5399
Career_Youth_Exchange,42,"Do you have any recommendations for improvements? If yes, please share.","Overall it was great and the activities were amazing, but in the upcoming ones more personality tests which are internationally proven can be added for better personality analysis","Overall it was great and the activities were amazing, but in the upcoming ones more personality tests which are internationally proven can be added for better personality analysis",positive,0.8316
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",I would suggest to choose a not so cold date to do it.,positive,0.5
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",It was a struggle to be motivated sometimes due to the weather.,neutral,0.1779
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.","Also, it wasn't 100 percent clear where the location was and this could be improved further.",negative,-0.6
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","I would suggest to choose a not so cold date to do it. It was a struggle to be motivated sometimes due to the weather. Also, it wasn't 100 percent clear where the location was and this could be improved further. Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.",Having the kitchen downstairs made the experience a bit hectic and caused delays in our sessions in my opinion.,neutral,0.0
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.","Less people per room, maybe sessions can be a little more intense / in-depth","Less people per room, maybe sessions can be a little more intense / in-depth",neutral,0.081
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.",Add more fun games and sessions,Add more fun games and sessions,positive,0.5563
Career_Youth_Exchange,43,"Do you have any recommendations for improvements? If yes, please share.",Sleeping arrangements maybe could be divided for people who sleep early and sleep late 🙂‍↕️,Sleeping arrangements maybe could be divided for people who sleep early and sleep late 🙂‍↕️,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The speed dating, the debates, the reflection time when we had draw a river of our life, the ted talks, the cv game and the ikigai.","The speed dating, the debates, the reflection time when we had draw a river of our life, the ted talks, the cv game and the ikigai.",neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"treasure hunt, acting and drawing your river of life","treasure hunt, acting and drawing your river of life",positive,0.296
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"Activities where we had to talk about personal experiences, learning from others and having to talk about what success means for each of us.","Activities where we had to talk about personal experiences, learning from others and having to talk about what success means for each of us.",positive,0.5719
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The debate exercise and the river of my life exercise,The debate exercise and the river of my life exercise,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Fuckup night was amazing.,Fuckup night was amazing.,positive,0.5859
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"Speed dating, ted talk, deep talks.","Speed dating, ted talk, deep talks.",neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The ones about career choice helped a lot,The ones about career choice helped a lot,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,tedx talk,tedx talk,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"especially the part where we prepare our cv and ask each other questions about success, his and courage etc.","especially the part where we prepare our cv and ask each other questions about success, his and courage etc.",positive,0.7845
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The one with mentor, to choose a goal and try to achieve it","The one with mentor, to choose a goal and try to achieve it",neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I liked the ""speed dating"" as it was nice to hear other people's opinions about different questions","I liked the ""speed dating"" as it was nice to hear other people's opinions about different questions",positive,0.6
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"The debate, and the product packaging innovation.","The debate, and the product packaging innovation.",positive,0.3818
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"There were useful points for me in all the activities, but the most useful for me was the CV preparation activity.","There were useful points for me in all the activities, but the most useful for me was the CV preparation activity.",positive,0.7003
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,TED talks and debate,TED talks and debate,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,All of them,All of them,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Ted Talk,Ted Talk,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,the luxembourg conference,the luxembourg conference,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"the debate, the tedx talks, the secret friends, the social interactions overall","the debate, the tedx talks, the secret friends, the social interactions overall",positive,0.4767
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference but we feel the same things through different situations and that is something that connects us all together.,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference,positive,0.5859
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Rivers of life was one of the amazing sessions that I had because it made me realise how our experiences can be entirely difference but we feel the same things through different situations and that is something that connects us all together.,but we feel the same things through different situations and that is something that connects us all together.,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.","I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session.",positive,0.7351
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",They slowly made me realize many things about myself and learn about my peers.,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other.,positive,0.4336
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,"I was happy that we were introduced to some activities like coming up with our own ted talks, ikigai, and the river session. They slowly made me realize many things about myself and learn about my peers. It was interesting to see how people from so many backgrounds shared life experiences or struggles and we collectively gathered so much advice from each other. Which is one of the main goals I had for the project.",Which is one of the main goals I had for the project.,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Making a film about what courage for succes means to us and the ikigai session,Making a film about what courage for succes means to us and the ikigai session,positive,0.4939
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,Speed dating,Speed dating,neutral,0.0
Career_Youth_Exchange,43,What activities or sessions did you find most beneficial for you?,The Debate and the self reflection part,The Debate and the self reflection part,neutral,0.0
